Subject;AgeGroup;ItemID;Position;CorrectChoice;RiskyChoice;Gender;NegativeAffect;Numeracy
1;younger;1;18;0;0;female;1.75;9
1;younger;2;92;0;1;female;1.75;9
1;younger;3;73;1;1;female;1.75;9
1;younger;4;44;1;0;female;1.75;9
1;younger;5;9;0;0;female;1.75;9
1;younger;6;78;1;NA;female;1.75;9
1;younger;7;23;1;1;female;1.75;9
1;younger;8;93;1;0;female;1.75;9
1;younger;9;97;0;0;female;1.75;9
1;younger;10;86;1;0;female;1.75;9
1;younger;11;25;0;0;female;1.75;9
1;younger;12;52;1;0;female;1.75;9
1;younger;13;51;1;0;female;1.75;9
1;younger;14;100;1;0;female;1.75;9
1;younger;15;70;1;0;female;1.75;9
1;younger;16;50;1;0;female;1.75;9
1;younger;17;56;0;0;female;1.75;9
1;younger;18;54;0;0;female;1.75;9
1;younger;19;46;0;0;female;1.75;9
1;younger;20;65;0;0;female;1.75;9
1;younger;21;38;1;1;female;1.75;9
1;younger;22;76;1;NA;female;1.75;9
1;younger;23;96;1;0;female;1.75;9
1;younger;24;34;NA;0;female;1.75;9
1;younger;25;90;0;0;female;1.75;9
1;younger;26;72;0;0;female;1.75;9
1;younger;27;32;0;0;female;1.75;9
1;younger;28;17;0;0;female;1.75;9
1;younger;29;63;0;0;female;1.75;9
1;younger;30;16;0;0;female;1.75;9
1;younger;31;5;1;0;female;1.75;9
1;younger;32;60;1;1;female;1.75;9
1;younger;33;102;0;0;female;1.75;9
1;younger;34;31;1;0;female;1.75;9
1;younger;35;47;0;0;female;1.75;9
1;younger;36;87;1;0;female;1.75;9
1;younger;37;12;1;1;female;1.75;9
1;younger;38;62;1;0;female;1.75;9
1;younger;39;48;0;0;female;1.75;9
1;younger;40;10;1;0;female;1.75;9
1;younger;41;58;1;1;female;1.75;9
1;younger;42;24;1;1;female;1.75;9
1;younger;43;20;1;0;female;1.75;9
1;younger;44;28;1;1;female;1.75;9
1;younger;45;14;1;1;female;1.75;9
1;younger;46;3;1;0;female;1.75;9
1;younger;47;95;1;0;female;1.75;9
1;younger;48;35;0;0;female;1.75;9
1;younger;49;83;1;0;female;1.75;9
1;younger;50;91;1;0;female;1.75;9
1;younger;51;64;1;1;female;1.75;9
1;younger;52;74;0;0;female;1.75;9
1;younger;53;43;1;1;female;1.75;9
1;younger;54;40;0;0;female;1.75;9
1;younger;55;82;1;0;female;1.75;9
1;younger;56;22;1;1;female;1.75;9
1;younger;57;104;1;0;female;1.75;9
1;younger;58;84;1;1;female;1.75;9
1;younger;59;13;1;1;female;1.75;9
1;younger;60;71;1;1;female;1.75;9
1;younger;61;2;1;0;female;1.75;9
1;younger;62;33;0;0;female;1.75;9
1;younger;63;27;1;0;female;1.75;9
1;younger;64;85;0;0;female;1.75;9
1;younger;65;57;1;0;female;1.75;9
1;younger;66;49;0;0;female;1.75;9
1;younger;67;26;0;0;female;1.75;9
1;younger;68;8;0;1;female;1.75;9
1;younger;69;69;1;1;female;1.75;9
1;younger;70;98;0;0;female;1.75;9
1;younger;71;101;1;1;female;1.75;9
1;younger;72;61;1;0;female;1.75;9
1;younger;73;99;0;0;female;1.75;9
1;younger;74;105;1;0;female;1.75;9
1;younger;75;45;1;0;female;1.75;9
1;younger;76;6;1;1;female;1.75;9
1;younger;77;36;1;0;female;1.75;9
1;younger;78;103;1;0;female;1.75;9
1;younger;79;19;1;1;female;1.75;9
1;younger;80;30;1;1;female;1.75;9
1;younger;81;53;0;0;female;1.75;9
1;younger;82;11;0;1;female;1.75;9
1;younger;83;68;0;0;female;1.75;9
1;younger;84;21;1;0;female;1.75;9
1;younger;85;75;0;0;female;1.75;9
1;younger;86;67;0;0;female;1.75;9
1;younger;87;1;0;0;female;1.75;9
1;younger;88;29;0;0;female;1.75;9
1;younger;89;37;1;0;female;1.75;9
1;younger;90;89;0;0;female;1.75;9
1;younger;91;42;1;1;female;1.75;9
1;younger;92;4;0;0;female;1.75;9
1;younger;93;41;1;0;female;1.75;9
1;younger;94;94;0;0;female;1.75;9
1;younger;95;55;1;0;female;1.75;9
1;younger;96;39;0;0;female;1.75;9
1;younger;97;7;0;1;female;1.75;9
1;younger;98;66;0;0;female;1.75;9
1;younger;99;80;0;0;female;1.75;9
1;younger;100;15;0;1;female;1.75;9
1;younger;101;77;1;1;female;1.75;9
1;younger;102;79;1;0;female;1.75;9
1;younger;103;81;1;1;female;1.75;9
1;younger;104;59;1;0;female;1.75;9
1;younger;105;88;1;1;female;1.75;9
2;younger;1;80;1;1;female;2.5;7
2;younger;2;65;0;1;female;2.5;7
2;younger;3;32;0;0;female;2.5;7
2;younger;4;101;0;1;female;2.5;7
2;younger;5;70;1;1;female;2.5;7
2;younger;6;48;1;NA;female;2.5;7
2;younger;7;36;1;1;female;2.5;7
2;younger;8;11;1;0;female;2.5;7
2;younger;9;63;0;0;female;2.5;7
2;younger;10;64;1;0;female;2.5;7
2;younger;11;56;0;0;female;2.5;7
2;younger;12;28;0;1;female;2.5;7
2;younger;13;52;1;0;female;2.5;7
2;younger;14;39;1;0;female;2.5;7
2;younger;15;86;1;0;female;2.5;7
2;younger;16;79;1;0;female;2.5;7
2;younger;17;71;0;0;female;2.5;7
2;younger;18;45;1;1;female;2.5;7
2;younger;19;53;0;0;female;2.5;7
2;younger;20;104;1;1;female;2.5;7
2;younger;21;16;0;0;female;2.5;7
2;younger;22;99;1;NA;female;2.5;7
2;younger;23;74;0;1;female;2.5;7
2;younger;24;105;NA;1;female;2.5;7
2;younger;25;3;0;0;female;2.5;7
2;younger;26;57;1;1;female;2.5;7
2;younger;27;43;1;1;female;2.5;7
2;younger;28;92;1;1;female;2.5;7
2;younger;29;59;1;1;female;2.5;7
2;younger;30;68;1;1;female;2.5;7
2;younger;31;50;0;1;female;2.5;7
2;younger;32;18;1;1;female;2.5;7
2;younger;33;20;0;0;female;2.5;7
2;younger;34;42;1;0;female;2.5;7
2;younger;35;100;0;0;female;2.5;7
2;younger;36;61;0;1;female;2.5;7
2;younger;37;89;1;1;female;2.5;7
2;younger;38;37;1;0;female;2.5;7
2;younger;39;91;0;0;female;2.5;7
2;younger;40;82;1;0;female;2.5;7
2;younger;41;8;1;1;female;2.5;7
2;younger;42;97;0;0;female;2.5;7
2;younger;43;35;1;0;female;2.5;7
2;younger;44;49;1;1;female;2.5;7
2;younger;45;66;1;1;female;2.5;7
2;younger;46;1;0;1;female;2.5;7
2;younger;47;38;1;0;female;2.5;7
2;younger;48;84;0;0;female;2.5;7
2;younger;49;30;0;1;female;2.5;7
2;younger;50;98;1;0;female;2.5;7
2;younger;51;87;1;1;female;2.5;7
2;younger;52;6;1;1;female;2.5;7
2;younger;53;25;1;1;female;2.5;7
2;younger;54;47;0;0;female;2.5;7
2;younger;55;103;1;0;female;2.5;7
2;younger;56;76;1;1;female;2.5;7
2;younger;57;15;1;0;female;2.5;7
2;younger;58;13;0;0;female;2.5;7
2;younger;59;51;1;1;female;2.5;7
2;younger;60;55;1;1;female;2.5;7
2;younger;61;81;1;0;female;2.5;7
2;younger;62;41;1;1;female;2.5;7
2;younger;63;26;0;1;female;2.5;7
2;younger;64;83;1;1;female;2.5;7
2;younger;65;4;1;0;female;2.5;7
2;younger;66;24;1;1;female;2.5;7
2;younger;67;54;0;0;female;2.5;7
2;younger;68;12;1;0;female;2.5;7
2;younger;69;7;1;1;female;2.5;7
2;younger;70;78;0;0;female;2.5;7
2;younger;71;75;1;1;female;2.5;7
2;younger;72;69;1;0;female;2.5;7
2;younger;73;62;1;1;female;2.5;7
2;younger;74;95;1;0;female;2.5;7
2;younger;75;10;1;0;female;2.5;7
2;younger;76;44;1;1;female;2.5;7
2;younger;77;33;0;1;female;2.5;7
2;younger;78;21;1;0;female;2.5;7
2;younger;79;5;1;1;female;2.5;7
2;younger;80;93;1;1;female;2.5;7
2;younger;81;2;0;0;female;2.5;7
2;younger;82;88;0;1;female;2.5;7
2;younger;83;85;0;0;female;2.5;7
2;younger;84;90;1;0;female;2.5;7
2;younger;85;96;1;1;female;2.5;7
2;younger;86;67;0;0;female;2.5;7
2;younger;87;17;1;1;female;2.5;7
2;younger;88;72;1;1;female;2.5;7
2;younger;89;60;1;0;female;2.5;7
2;younger;90;34;1;1;female;2.5;7
2;younger;91;19;1;1;female;2.5;7
2;younger;92;77;1;1;female;2.5;7
2;younger;93;102;0;1;female;2.5;7
2;younger;94;40;0;0;female;2.5;7
2;younger;95;9;1;0;female;2.5;7
2;younger;96;23;0;0;female;2.5;7
2;younger;97;31;0;1;female;2.5;7
2;younger;98;46;1;1;female;2.5;7
2;younger;99;14;0;0;female;2.5;7
2;younger;100;94;0;1;female;2.5;7
2;younger;101;27;0;0;female;2.5;7
2;younger;102;22;1;0;female;2.5;7
2;younger;103;29;0;0;female;2.5;7
2;younger;104;58;1;0;female;2.5;7
2;younger;105;73;1;1;female;2.5;7
3;younger;1;32;1;1;male;1.25;10
3;younger;2;30;1;0;male;1.25;10
3;younger;3;3;1;1;male;1.25;10
3;younger;4;77;0;1;male;1.25;10
3;younger;5;33;1;1;male;1.25;10
3;younger;6;14;1;NA;male;1.25;10
3;younger;7;10;0;0;male;1.25;10
3;younger;8;42;1;0;male;1.25;10
3;younger;9;74;1;1;male;1.25;10
3;younger;10;93;1;0;male;1.25;10
3;younger;11;27;1;1;male;1.25;10
3;younger;12;16;1;0;male;1.25;10
3;younger;13;68;1;0;male;1.25;10
3;younger;14;89;1;0;male;1.25;10
3;younger;15;4;1;0;male;1.25;10
3;younger;16;71;1;0;male;1.25;10
3;younger;17;64;0;0;male;1.25;10
3;younger;18;53;0;0;male;1.25;10
3;younger;19;5;0;0;male;1.25;10
3;younger;20;41;1;1;male;1.25;10
3;younger;21;65;1;1;male;1.25;10
3;younger;22;104;1;NA;male;1.25;10
3;younger;23;54;1;0;male;1.25;10
3;younger;24;101;NA;0;male;1.25;10
3;younger;25;51;1;1;male;1.25;10
3;younger;26;28;1;1;male;1.25;10
3;younger;27;105;1;1;male;1.25;10
3;younger;28;50;1;1;male;1.25;10
3;younger;29;61;1;1;male;1.25;10
3;younger;30;13;1;1;male;1.25;10
3;younger;31;22;1;0;male;1.25;10
3;younger;32;12;1;1;male;1.25;10
3;younger;33;103;1;1;male;1.25;10
3;younger;34;9;0;1;male;1.25;10
3;younger;35;58;0;0;male;1.25;10
3;younger;36;60;1;0;male;1.25;10
3;younger;37;85;1;1;male;1.25;10
3;younger;38;18;1;0;male;1.25;10
3;younger;39;34;0;0;male;1.25;10
3;younger;40;102;1;0;male;1.25;10
3;younger;41;70;0;0;male;1.25;10
3;younger;42;43;1;1;male;1.25;10
3;younger;43;49;0;1;male;1.25;10
3;younger;44;21;1;1;male;1.25;10
3;younger;45;47;1;1;male;1.25;10
3;younger;46;99;1;0;male;1.25;10
3;younger;47;11;1;0;male;1.25;10
3;younger;48;73;0;0;male;1.25;10
3;younger;49;26;1;0;male;1.25;10
3;younger;50;96;1;0;male;1.25;10
3;younger;51;100;1;1;male;1.25;10
3;younger;52;97;1;1;male;1.25;10
3;younger;53;7;0;0;male;1.25;10
3;younger;54;55;1;1;male;1.25;10
3;younger;55;37;1;0;male;1.25;10
3;younger;56;82;1;1;male;1.25;10
3;younger;57;91;1;0;male;1.25;10
3;younger;58;69;1;1;male;1.25;10
3;younger;59;39;1;1;male;1.25;10
3;younger;60;29;0;0;male;1.25;10
3;younger;61;48;1;0;male;1.25;10
3;younger;62;92;1;1;male;1.25;10
3;younger;63;67;1;0;male;1.25;10
